Minnehaha,South Dakota,1899.0,182014
Sullivan,Tennessee,2930.0,156644
Dallas,Texas,26180.0,2513054
Montgomery,Texas,5811.0,518849
Tarrant,Texas,20192.0,1947529
Weber,Utah,2496.0,241328
Loudoun,Virginia,1887.0,362435
Skagit,Washington,1427.0,120475
Whatcom,Washington,2088.0,209729
Jefferson,Arkansas,1410.0,72385
Stanislaus,California,6261.0,530561
Pitkin,Colorado,98.0,17543
New Castle,Delaware,6824.0,551997
Miami-Dade,Florida,24185.0,2664418
St. Johns,Florida,2553.0,218362
Bartow,Georgia,1501.0,101942
Lee,Georgia,386.0,29134
Lowndes,Georgia,1518.0,113898
Lake,Illinois,5757.0,702890
Howard,Indiana,1551.0,82728
Johnson,Indiana,1669.0,147567
St. Joseph,Indiana,3633.0,267696
Caddo,Louisiana,4324.0,253125
Baltimore,Maryland,10845.0,825666
Olmsted,Minnesota,1171.0,150104
Forrest,Mississippi,1306.0,76274
Middlesex,New Jersey,7210.0,831852
Bernalillo,New Mexico,8403.0,674777
Santa Fe,New Mexico,1753.0,147320
Socorro,New Mexico,273.0,17324
Monroe,New York,7898.0,749236
Ward,North Dakota,555.0,68954
Stark,Ohio,5722.0,374762
Deschutes,Oregon,1753.0,170813
Linn,Oregon,1711.0,119862
Polk,Oregon,863.0,78470
Umatilla,Oregon,948.0,76582
Bucks,Pennsylvania,6966.0,626220
Lancaster,South Carolina,1355.0,83704
Bon Homme,South Dakota,74.0,7001
Gregg,Texas,1892.0,123283
Chittenden,Vermont,1377.0,160510
Arlington,Virginia,1077.0,226092
Island,Washington,916.0,80113
Thurston,Washington,2994.0,266311
Fond du Lac,Wisconsin,1070.0,101968
Waukesha,Wisconsin,3490.0,395377
Sheridan,Wyoming,437.0,29924
Anchorage,Alaska,3203.0,299321
Pulaski,Arkansas,5848.0,391806
Tulare,California,4693.0,455769
Adams,Colorado,4658.0,479977
Litchfield,Connecticut,2066.0,185141
Clay,Florida,2749.0,200346
Duval,Florida,13806.0,900890
Palm Beach,Florida,15549.0,1398757
Sarasota,Florida,5522.0,398011
Seminole,Florida,4689.0,442905
Carroll,Iowa,220.0,20555
Wyandotte,Kansas,2309.0,161777
Montgomery,Kentucky,513.0,27391
Androscoggin,Maine,1488.0,107376
Ingham,Michigan,3170.0,284559
Kent,Michigan,6023.0,629352
Montcalm,Michigan,889.0,62922
St. Clair,Michigan,2446.0,160069
Washtenaw,Michigan,2914.0,358082
Dakota,Minnesota,3147.0,411402
Hennepin,Minnesota,10566.0,1209265
Stearns,Minnesota,1261.0,153661
Greene,Missouri,3962.0,285449
Cass,Nebraska,298.0,25463
Carson City,Nevada,1086.0,54412
Essex,New Jersey,8923.0,792586
Morris,New Jersey,3871.0,498215
Albany,New York,3307.0,307891
Delaware,New York,677.0,46480
Dutchess,New York,3166.0,295905
Herkimer,New York,796.0,63558
Orange,New York,3697.0,376242
Cabarrus,North Carolina,2241.0,192296
Forsyth,North Carolina,4734.0,364691
Johnston,North Carolina,2379.0,182155
Mecklenburg,North Carolina,9446.0,1011774
Onslow,North Carolina,2052.0,185755
Trumbull,Ohio,3557.0,204908
Clackamas,Oregon,4080.0,394967
Northampton,Pennsylvania,3405.0,300520
Pike,Pennsylvania,774.0,56210
Knox,Tennessee,6816.0,448164
Alexandria city,Virginia,923.0,151473
Hanover,Virginia,1166.0,102199
James City,Virginia,810.0,71900
Prince Edward,Virginia,324.0,23077
Prince William,Virginia,3250.0,443630
Columbia,Washington,76.0,3971
Grays Harbor,Washington,1306.0,71233
Yakima,Washington,2909.0,247681
Elmore,Alabama,1229.0,80957
Jefferson,Alabama,11214.0,659096
Limestone,Alabama,1258.0,90257
Montgomery,Alabama,3323.0,227392
Tuscaloosa,Alabama,2750.0,202471
San Benito,California,477.0,58051
Clear Creek,Colorado,101.0,9238
Pueblo,Colorado,2629.0,162158
Routt,Colorado,206.0,23980
Summit,Colorado,149.0,29269
Weld,Colorado,2705.0,278065
Orange,Florida,12481.0,1256055
Osceola,Florida,3657.0,311962
Gordon,Georgia,910.0,56079
Henry,Georgia,2608.0,214171
Ada,Idaho,3940.0,425798
Harrison,Iowa,186.0,14335
Butler,Kansas,883.0,66264
St. Charles,Louisiana,640.0,52708
St. Tammany,Louisiana,3109.0,246269
Terrebonne,Louisiana,1737.0,113099
Cumberland,Maine,3074.0,288204
Anne Arundel,Maryland,6299.0,559737
Charles,Maryland,1774.0,154357
Bay,Michigan,1579.0,106107
Charlevoix,Michigan,334.0,26172
Leelanau,Michigan,225.0,21764
Macomb,Michigan,11677.0,859703
Wright,Minnesota,1004.0,129922
Copiah,Mississippi,525.0,28780
Leflore,Mississippi,628.0,30500
Pearl River,Mississippi,1077.0,55167
Henry,Missouri,409.0,21930
Gallatin,Montana,654.0,97958
Lewis and Clark,Montana,830.0,65989
Silver Bow,Montana,547.0,34560
Yellowstone,Montana,1965.0,155344
Ocean,New Jersey,7561.0,586166
Schenectady,New York,1827.0,154845
Wayne,North Carolina,1952.0,124447
Oklahoma,Oklahoma,10995.0,764698
Chester,Pennsylvania,4480.0,512028
Cumberland,Pennsylvania,2729.0,243838
Washington,Pennsylvania,3258.0,208269
McCook,South Dakota,77.0,5616
Hamilton,Tennessee,5244.0,351305
Jefferson,Tennessee,969.0,52851
Rutherford,Tennessee,3427.0,290289
Bell,Texas,3599.0,330859
El Paso,Texas,7606.0,833592
Galveston,Texas,4466.0,314485
Smith,Texas,2831.0,219745
Travis,Texas,8536.0,1148176
Harrisonburg city,Virginia,345.0,51979
Grant,Washington,1017.0,92530
Milwaukee,Wisconsin,12467.0,955306
Racine,Wisconsin,2427.0,194873
Sheboygan,Wisconsin,1212.0,115269
Fremont,Wyoming,677.0,40683
Baldwin,Alabama,2967.0,199510
Graham,Arizona,465.0,37529
San Luis Obispo,California,2779.0,278680
Boulder,Colorado,2216.0,313961
Mesa,Colorado,1952.0,148166
Hartford,Connecticut,9214.0,895699
New Haven,Connecticut,9163.0,860874
Coweta,Georgia,1658.0,135625
Kauai,Hawaii,744.0,70447
Blaine,Idaho,153.0,21427
Teton,Idaho,63.0,10437
Cumberland,Illinois,129.0,10890
DuPage,Illinois,7045.0,930514
Sangamon,Illinois,2593.0,198639
St. Clair,Illinois,3825.0,265569
Woodford,Illinois,360.0,39123
LaPorte,Indiana,1841.0,110993
Wells,Indiana,369.0,27836
Dallas,Iowa,605.0,78074
Franklin,Kansas,354.0,25663
Bourbon,Kentucky,338.0,20004
Nelson,Kentucky,702.0,44875
Bossier,Louisiana,1528.0,124720
Lafourche,Louisiana,1387.0,97688
St. John the Baptist,Louisiana,692.0,43888
Carroll,Maryland,1932.0,167535
Barnstable,Massachusetts,2798.0,214703
Bristol,Massachusetts,6969.0,554868
Monroe,Michigan,2121.0,149945
Renville,Minnesota,178.0,14995
Missoula,Montana,1218.0,113101
Mercer,New Jersey,3771.0,371101
Sandoval,New Mexico,1706.0,138117
Broome,New York,2426.0,197381
Tioga,New York,565.0,49649
Tompkins,New York,866.0,104268
Brunswick,North Carolina,2210.0,119167
Craven,North Carolina,1623.0,104190
Harnett,North Carolina,1638.0,126620
Belmont,Ohio,1123.0,69228
Butler,Ohio,5172.0,373638
Franklin,Ohio,15443.0,1232118
Lorain,Ohio,4309.0,304091
Summit,Ohio,7885.0,541372
Tuscarawas,Ohio,1277.0,92579
Jackson,Oklahoma,379.0,25864
Allegheny,Pennsylvania,16701.0,1230360
Beaufort,South Carolina,1940.0,175316
Lexington,South Carolina,3798.0,277702
Campbell,Tennessee,997.0,40008
Brazoria,Texas,3728.0,338419
Hays,Texas,1677.0,185686
Summit,Utah,235.0,39009
Washington,Vermont,654.0,58963
Windsor,Vermont,722.0,55894
Chesterfield,Virginia,3655.0,331839
Spotsylvania,Virginia,1475.0,129181
Klickitat,Washington,325.0,20930
Winnebago,Wisconsin,1795.0,169487
Lee,Alabama,1701.0,153947
Shelby,Alabama,2188.0,205951
Garland,Arkansas,1896.0,97119
Saline,Arkansas,1721.0,115577
San Bernardino,California,22654.0,2106754
Santa Barbara,California,3518.0,439395
Garfield,Colorado,520.0,57495
Baker,Florida,474.0,27312
Citrus,Florida,3257.0,140453
Clarke,Georgia,1189.0,122037
Clayton,Georgia,3436.0,270269
Dougherty,Georgia,1576.0,92326
Newton,Georgia,1488.0,103901
Maui,Hawaii,1595.0,162456
Clinton,Illinois,414.0,37858
Whiteside,Illinois,797.0,57155
Winnebago,Illinois,4244.0,288896
Hamilton,Indiana,2137.0,303042
Allamakee,Iowa,169.0,14001
Polk,Iowa,5004.0,459159
Clark,Kentucky,712.0,35706
St. Bernard,Louisiana,762.0,44091
Lincoln,Maine,488.0,34165
Baltimore city,Maryland,12413.0,621000
Howard,Maryland,2098.0,308447
Hampden,Massachusetts,5749.0,468072
Plymouth,Massachusetts,5915.0,506657
Ottawa,Michigan,2099.0,276583
Waseca,Minnesota,163.0,19034
Washington,Minnesota,1934.0,248745
Hinds,Mississippi,3826.0,244596
Hillsborough,New Hampshire,4542.0,404948
Erie,New York,11768.0,922129
Greene,New York,689.0,48069
Montgomery,New York,686.0,49667
Putnam,New York,918.0,99408
Watauga,North Carolina,415.0,52745
Wilson,North Carolina,1361.0,81617
Lucas,Ohio,6923.0,434800
Medina,Ohio,1900.0,175543
Cleveland,Oklahoma,3039.0,271818
Kay,Oklahoma,832.0,45398
Payne,Oklahoma,847.0,79953
Yamhill,Oregon,1187.0,102217
